ticker,company_name
CBA,Commonwealth Bank of Australia
BHP,BHP Group Limited
WBC,Westpac Banking Corporation
ANZ,Australia and New Zealand Banking Group
NAB,National Australia Bank Limited
WES,Wesfarmers Limited
CSL,CSL Limited
TLS,Telstra Corporation Limited
WOW,Woolworths Group Limited
RIO,Rio Tinto Limited
TCL,Transurban Group
STO,Santos Limited
FMG,Fortescue Metals Group Limited
MQG,Macquarie Group Limited
COH,Cochlear Limited
SHL,Sonic Healthcare Limited
REA,REA Group Limited
XRO,Xero Limited
RHC,Ramsay Health Care Limited
TWE,Treasury Wine Estates Limited
ALL,Aristocrat Leisure Limited
APA,APA Group
ASX,ASX Limited
AZJ,Aurizon Holdings Limited
BXB,Brambles Limited
CAR,CarSales.com Limited
CCL,Coca-Cola Amatil Limited
CPU,Computershare Limited
DMP,Domino's Pizza Enterprises Limited
EVN,Evolution Mining Limited
FPH,Fisher & Paykel Healthcare Corporation Limited
GPT,GPT Group
IAG,Insurance Australia Group Limited
ILU,Iluka Resources Limited
JBH,JB Hi-Fi Limited
LLC,Lendlease Group
MGR,Mirvac Group
MND,Monadelphous Group Limited
NCM,Newcrest Mining Limited
NST,Northern Star Resources Limited
ORG,Origin Energy Limited
OSH,Oil Search Limited
QAN,Qantas Airways Limited
QBE,QBE Insurance Group Limited
SCG,Scentre Group
SGP,Stockland Corporation Limited
SUN,Suncorp Group Limited
TCL,Transurban Group
TLS,Telstra Corporation Limited
TWE,Treasury Wine Estates Limited
WBC,Westpac Banking Corporation
WES,Wesfarmers Limited
WOW,Woolworths Group Limited
XRO,Xero Limited

