ticker,name,sector,market_cap
CBA,Commonwealth Bank of Australia,Banking,AUD 180B
WBC,Westpac Banking Corporation,Banking,AUD 85B
ANZ,ANZ Group Holdings,Banking,AUD 80B
NAB,National Australia Bank,Banking,AUD 75B
BHP,BHP Group Limited,Mining,AUD 220B
RIO,Rio Tinto Limited,Mining,AUD 120B
FMG,Fortescue Metals Group,Mining,AUD 65B
WDS,Woodside Energy Group,Energy,AUD 55B
CSL,CSL Limited,Healthcare,AUD 140B
TLS,Telstra Group Limited,Telecommunications,AUD 45B
WES,Wesfarmers Limited,Retail,AUD 70B
WOW,Woolworths Group Limited,Retail,AUD 50B
COL,Coles Group Limited,Retail,AUD 25B
GMG,Goodman Group,Real Estate,AUD 40B
SGP,Stockland Corporation,Real Estate,AUD 12B
ORG,Origin Energy Limited,Energy,AUD 15B
AGL,AGL Energy Limited,Energy,AUD 8B
REA,REA Group Limited,Technology,AUD 18B
CAR,Carsales.com Limited,Technology,AUD 8B
IAG,Insurance Australia Group,Insurance,AUD 12B
SUN,Suncorp Group Limited,Insurance,AUD 15B
QAN,Qantas Airways Limited,Transportation,AUD 10B
TCL,Transurban Group,Infrastructure,AUD 35B
STO,Santos Limited,Energy,AUD 20B
ALL,Aristocrat Leisure Limited,Gaming,AUD 25B
JHX,James Hardie Industries,Materials,AUD 18B
